id,name,provider,provider_type,level,coverage,stipend,eligibility,deadline,link,popular_score
18,POSCO Asia Fellowship,POSCO Foundation,Foundation,Graduate,Full,1500000,Asian developing countries,Annual,https://www.poscofoundation.org,93
19,Lotte Global Scholarship,Lotte Foundation,Foundation,Undergraduate,Partial,,Developing country students,Annual,81
20,Hyundai Chung Mong-Koo Scholarship,Hyundai Foundation,Foundation,Both,Full,1200000,Leadership & social impact focus,Annual,94
21,SK Global Scholarship,SK Group,Corporate,Both,Partial,,Merit & leadership based,Annual,78
22,CJ Scholarship for Global Talent,CJ Group,Corporate,Undergraduate,Partial,,Academic excellence,Annual,79
23,GS Caltex Global Scholarship,GS Caltex,Corporate,Graduate,Full,1100000,Energy sector focus,Annual,77
24,Hanwha Dream Scholarship,Hanwha Group,Corporate,Both,Partial,,Community service & academics,Annual,76
25,Daewoo Global Scholarship,Daewoo Foundation,Foundation,Undergraduate,Partial,,Merit-based international students,Annual,75   
26,KEPCO International Scholarship,KEPCO,Corporate,Graduate,Full,1300000,Energy & engineering focus,Annual,74
27,LX Global Scholarship,LX Group,Corporate,Both,Partial,,Leadership & innovation focus,Annual,73
28,Shinhan Global Scholarship,Shinhan Bank,Corporate,Undergraduate,Partial,,Finance & economics focus,Annual,72
29,KB Kookmin Bank Global Scholarship,KB Financial Group,Corporate,Both,Partial,,Merit & leadership based,Annual,71
30,NH NongHyup Global Scholarship,NongHyup Bank,Corporate,Undergraduate,Partial,,Agriculture & rural development focus,Annual,70
31,IBK Global Talent Scholarship,IBK Bank,Corporate,Graduate,Full,1200000,Business & finance focus,Annual,69    
32,Seoul Tech Global Scholarship,Seoul National University of Science and Technology,University,Both,Partial,,STEM international students,Semester based,https://www.seoultech.ac.kr,68
33,Korea Maritime and Ocean University Scholarship,Korea Maritime and Ocean University,University,Both,Partial,,Maritime studies focus,Admission round,https://www.kmou.ac.kr,67
34,Chonnam National University Global Scholarship,Chonnam National University,University,Both,Partial,,Merit-based international students,Semester start,https://www.jnu.ac.kr,66
35,Chung-Ang University International Scholarship,Chung-Ang University,University,Both,Partial,,Academic excellence,Rolling,https://www.cau.ac.kr,65
36,Kyungpook National University Global Scholarship,Kyungpook National University,University,Both,Partial,,Merit & leadership based,Semester start,https://www.knu.ac.kr,64
37,Jeonbuk National University Scholarship,Jeonbuk National University,University,Both,Partial,,Merit-based international students,Semester start,https://www.jbnu.ac.kr,63
38,Daegu Gyeongbuk Institute of Science and Technology (DGIST) Scholarship,DGIST,University,Graduate,Full,1400000,Research-focused applicants,Admission cycle,https://www.dgist.ac.kr,62
39,Gangneung-Wonju National University Scholarship,Gangneung-Wonju National University,University,Both,Partial,,Merit-based international students,Semester start,https://www.gwnu.ac.kr,61
40,Sejong University Global Scholarship,Sejong University,University,Both,Partial,,Academic excellence,Rolling,https://www.sejong.ac.kr,60      
41,Kyunghee University Global Scholarship,Kyunghee University,University,Both,Partial,,Merit & leadership based,Semester start,https://www.khu.ac.kr,59
42,Sookmyung Women's University Global Scholarship,Sookmyung Women's University,University,Both,Partial,,Merit & leadership based,Semester start,https://www.sookmyung.ac.kr,58
43,Dongguk University International Scholarship,Dongguk University,University,Both,Partial,,Academic excellence,Rolling,https://www.dongguk.edu,57
44,Myongji University Global Scholarship,Myongji University,University,Both,Partial,,Merit-based international students,Semester start,https://www.mju.ac.kr,56
45,Hallym University International Scholarship,Hallym University,University,Both,Partial,,Academic excellence,Rolling,https://www.hallym.ac.kr,55
46,Inje University Global Scholarship,Inje University,University,Both,Partial,,Merit-based international students,Semester start,https://www.inje.ac.kr,54
47,Konkuk University International Scholarship,Konkuk University,University,Both,Partial,,Academic excellence,Rolling,https://www.konkuk.ac.kr,53
48,Catholic University of Korea Global Scholarship,Catholic University of Korea,University,Both,Partial,,Merit-based international students,Semester start,https://www.catholic.ac.kr,52
49,iucea Global Scholarship,International University of Korea,University,Both,Partial,,Academic excellence,Rolling,https://www.iuk.edu,51
50,SeoKyeong University Global Scholarship,SeoKyeong University,University,Both,Partial,,Merit-based international students,Semester start,https://www.skuniv.ac.kr,50
